accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
60.6133,397.2183,-12.8056,50172.5195,-17990.0078,-18226.2558
-266.6619,461.9173,145.4963,-25515.0117,-144331.2968,-117153.7968
-977.2521,-44.4538,335.9343,-8242.5029,-542.5002,3508.7512
-967.5565,-55.3081,358.9844,-11585.0039,-1373.7504,4182.5014
-962.4342,-45.7344,314.3476,-16861.2578,-6002.5024,7323.7524
-974.6301,-80.5535,202.2679,10797.5039,3692.5012,2283.7507
-969.0809,-20.9768,378.1928,437.5002,9476.2539,-3797.5012
-915.4193,502.8343,-48.1126,4480.0019,40241.2617,48597.5156
-1301.1735,907.9798,-205.6217,27807.5097,150543.7968,276150.0937
-1919.9289,583.1439,-360.4479,37957.5117,261590.1093,286685.1250
-1124.5778,325.5678,-72.1384,8986.2529,284961.3750,286685.1250
-146.2890,547.9588,58.8449,-12381.2548,195501.3125,201442.5781
202.2679,746.6900,-261.7836,49280.0156,84936.2812,56078.7734
-937.0670,-56.8326,248.6730,-30038.7597,-7280.0024,-1566.2506
-919.7489,-11.6470,290.6268,-31780.0117,-7367.5024,-2791.2512
-984.3258,-73.0531,163.9120,-7997.5029,-16310.0058,2056.2507
-953.1043,134.4591,26.4040,7875.0029,-4103.7509,11585.0039
-991.5213,676.8688,-293.3708,21271.2597,68626.2734,98490.0312
-1558.2617,972.8618,-364.9603,13028.7548,190890.0625,286685.1250
-1765.8956,648.2086,-168.6684,10543.7529,253881.3437,286685.1250
-804.9251,328.6777,-176.3518,-446.2502,229783.8281,286685.1250
19.6353,436.3060,181.2301,-25550.0097,152801.3125,143762.5468
186.1084,699.8579,-326.7874,21551.2578,23292.5097,-1522.5004
-970.6055,-74.9434,292.9440,-4375.0014,-813.7503,-4900.0019
-970.6055,-74.9434,292.9440,-4375.0014,-813.7503,-4900.0019
-1023.5963,-51.9542,157.4482,-32690.0156,-9082.5039,-6186.2524
-959.3853,171.7783,145.9232,-12880.0039,3570.0014,3053.7512
-1036.2800,590.8882,-67.1381,297.5001,65896.2734,115613.7968
-1440.9378,804.3762,-185.9865,8487.5039,155198.8125,286002.5937
-1698.3918,718.7005,-215.9882,35962.5117,221768.8281,286685.1250
