accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1332.2119,871.6972,1473.5617,53952.5156,-286685.1250,286685.1250
-595.3397,702.1142,1192.0207,-46908.7695,-286685.1250,246863.8593
-56.0399,235.2576,735.0429,78058.7812,-127820.0468,101202.5312
123.0560,283.7971,-0.4878,-26005.0097,111387.5390,-4480.0019
316.4819,417.8293,87.2612,-26005.0097,111387.5390,2213.7507
689.2476,441.3063,371.6681,-33696.2578,-28638.7617,70358.7734
-51.3445,803.7664,1000.7291,25480.0097,-262167.5937,197610.0625
-945.1771,1172.8734,1353.8596,-2948.7509,-286685.1250,279177.5937
-1012.8640,1255.0732,1289.8924,12731.2548,-286685.1250,281715.0937
-428.0128,1084.8194,1029.0845,-26530.0097,-286685.1250,169916.2968
-156.2286,683.6984,783.8262,-88900.0312,-83063.7812,19600.0078
-162.5705,-93.5420,490.0896,-66570.0234,11173.7539,-127933.8046
-162.5705,-93.5420,490.0896,-62335.0195,-498.7502,-123926.3046
505.1514,39.5145,409.4751,-4830.0014,-135502.5625,-56113.7695
-395.7548,1356.1157,874.8681,46908.7695,-285083.8437,159976.3125
-1557.3470,753.9464,1754.7976,157482.5625,-286685.1250,286685.1250
-1276.7208,-43.0513,1814.1303,98122.5312,-286685.1250,286685.1250
-561.0693,237.5748,1054.1468,-42026.2656,-235795.0781,146055.0625
-211.2928,415.8779,896.4548,-40083.7617,-17832.5078,-6046.2519
-174.9492,450.6361,1148.2988,30021.2597,96372.5390,-48335.0156
-173.3638,91.5907,-34.5752,-64295.0273,91367.5390,-43601.2656
-24.5136,137.3251,-29.3310,-48807.5195,84630.0312,-36645.0117
532.3482,332.3975,442.5259,61346.2734,-6720.0024,33783.7656
-101.9572,538.2022,1152.5062,29417.5136,-242165.1093,174256.2968
-1554.9078,1079.5751,1829.1920,9520.0039,-286685.1250,286676.3437
-1325.7481,700.5897,1641.7423,-5311.2519,-286685.1250,286685.1250
-434.1107,431.2447,797.8515,-116130.0468,-286685.1250,146081.3125
-10.2445,427.6469,947.0675,68311.2734,-41737.5156,8190.0024
-169.4001,351.7279,53.1129,-31955.0117,138337.5625,-70498.7734
-7.0736,351.7279,53.1129,-36846.2656,128843.7968,-65975.0234
702.9069,451.4898,133.9712,-33005.0078,11305.0039,1828.7507
453.7460,701.5654,626.1342,2616.2512,-191397.5781,121905.0468
-694.7357,1263.1834,1438.0717,-18742.5078,-286685.1250,236993.8281
