accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1018.7789,-50.8566,43.5391,-70.0000,-533.7502,-1417.5004
-1017.2545,-53.2958,43.2342,-70.0000,-288.7501,-1382.5004
-1018.1082,-53.1738,42.3195,-122.5000,-87.5000,-1181.2503
-1018.9010,-51.7713,43.9050,-105.0000,96.2500,-796.2503
-1018.5350,-50.9786,42.3805,-78.7500,122.5000,-971.2503
-1018.8400,-50.9176,44.5758,-87.5000,-428.7502,-1312.5003
-1019.8767,-51.7713,40.9780,-140.0001,533.7502,-603.7502
-1018.6571,-50.6737,44.1489,-78.7500,-726.2503,-1513.7506
-1017.1936,-51.8933,43.2342,-122.5000,568.7503,-507.5002
-1017.9863,-48.9663,42.1976,-105.0000,-315.0001,-1303.7504
-1020.0596,-52.6860,41.5878,-122.5000,-78.7500,-1111.2503
-1019.5107,-52.6250,43.1733,-70.0000,-411.2502,-1312.5003
-1019.6327,-51.5884,43.9660,-96.2500,-105.0000,-1015.0003
-1018.1082,-51.3445,44.6368,-87.5000,-113.7500,-1268.7504
-1018.5961,-52.2591,42.6244,-96.2500,17.5000,-945.0004
-1019.5107,-50.9176,43.7221,-96.2500,-236.2501,-1146.2504
-1019.6327,-51.0396,42.6854,-148.7501,113.7500,-892.5004
-1017.7424,-52.4421,43.4172,-113.7500,-516.2503,-1391.2504
-1019.0839,-53.1129,42.3805,-105.0000,61.2500,-1023.7503
-1019.2058,-52.5640,42.5635,-96.2500,-253.7501,-1190.0004
-1017.8033,-50.9176,44.6368,-113.7500,-306.2501,-1137.5004
-1018.0473,-51.1005,43.1123,-96.2500,105.0000,-1067.5003
-1017.6813,-51.4664,43.9660,-87.5000,-315.0001,-1321.2504
-1018.6571,-52.6860,42.6854,-122.5000,288.7501,-516.2503
-1018.7789,-50.0029,41.7707,-105.0000,-87.5000,-945.0004
-1017.8033,-51.8323,42.5025,-113.7500,-306.2501,-1260.0004
-1017.9253,-53.1129,45.8563,-105.0000,-533.7502,-1531.2504
-1017.4375,-53.3568,44.8807,-140.0001,560.0003,-621.2503
-1019.1448,-51.7103,42.6244,-52.5000,-358.7501,-1365.0004
-1018.1693,-50.8566,44.3928,-78.7500,-481.2502,-1251.2504
-1019.3888,-53.6617,44.0270,-105.0000,420.0002,-892.5004
-1018.1693,-51.2835,42.9903,-96.2500,428.7502,-315.0001
-1017.9863,-49.5761,40.9170,-78.7500,-341.2501,-1592.5006
-1018.1693,-53.9056,45.6734,-78.7500,-288.7501,-1251.2504
-1017.6813,-50.4907,42.1976,-122.5000,-157.5001,-1347.5004
-1017.3765,-55.9789,45.8563,-113.7500,-218.7501,-1172.5004
-1017.8643,-51.6494,45.1856,-96.2500,612.5003,-367.5001
-1018.6571,-52.5640,42.8074,-96.2500,-770.0003,-1575.0006
-1016.9496,-53.8446,44.8197,-78.7500,-140.0001,-1050.0003
-1018.9619,-51.4054,42.8684,-113.7500,446.2502,-805.0003
